Datetime,Open,High,Low,Close,Volume
2025-09-30 09:00:00,100.0,100.476,99.3748,99.9254,2418
2025-09-30 09:01:00,99.9254,100.1685,99.6025,99.8855,1754
2025-09-30 09:02:00,99.8855,100.655,99.3558,100.0054,2382
2025-09-30 09:03:00,100.0054,100.5853,99.5603,100.0728,2230
2025-09-30 09:04:00,100.0728,100.6214,99.6179,100.1197,1535
2025-09-30 09:05:00,100.1197,100.3855,99.7216,100.0536,2271
2025-09-30 09:06:00,100.0536,100.6985,99.2864,99.9925,2444
2025-09-30 09:07:00,99.9925,100.3745,99.4172,99.8959,2365
2025-09-30 09:08:00,99.8959,100.1665,99.1596,99.6631,2473
2025-09-30 09:09:00,99.6631,99.8674,98.9617,99.4146,1867
2025-09-30 09:10:00,99.4146,100.0081,98.7955,99.4018,1727
2025-09-30 09:11:00,99.4018,99.8667,98.992,99.4294,1711
2025-09-30 09:12:00,99.4294,99.6373,99.1122,99.3747,2439
2025-09-30 09:13:00,99.3747,100.0456,99.0236,99.5346,1841
2025-09-30 09:14:00,99.5346,99.809,98.857,99.333,1616
2025-09-30 09:15:00,99.333,99.5211,99.145,99.289,1689
2025-09-30 09:16:00,99.289,99.4546,99.1234,99.3218,1570
2025-09-30 09:17:00,99.3218,99.4638,99.1798,99.3428,1899
2025-09-30 09:18:00,99.3428,99.5229,99.1627,99.3028,1959
2025-09-30 09:19:00,99.3028,99.4756,99.1299,99.3392,1956
2025-09-30 09:20:00,99.3392,99.5141,99.1643,99.3017,2167
2025-09-30 09:21:00,99.3017,99.483,99.1205,99.3423,2172
2025-09-30 09:22:00,99.3423,99.5338,99.1509,99.3881,1940
2025-09-30 09:23:00,99.3881,99.5295,99.2466,99.4088,1582
2025-09-30 09:24:00,99.4088,99.5649,99.2527,99.4368,1773
2025-09-30 09:25:00,99.4368,99.6245,99.2492,99.393,1835
2025-09-30 09:26:00,99.393,99.5326,99.2534,99.3732,2330
2025-09-30 09:27:00,99.3732,99.5236,99.2227,99.3984,1882
2025-09-30 09:28:00,99.3984,99.5399,99.2569,99.3777,1579
2025-09-30 09:29:00,99.3777,99.5145,99.2408,99.3961,2223
2025-09-30 09:30:00,99.3961,102.2298,101.5551,102.1407,8424
2025-09-30 09:31:00,102.1407,102.3197,101.9617,102.1802,2180
2025-09-30 09:32:00,102.1802,102.358,102.0023,102.2191,2493
2025-09-30 09:33:00,102.2191,102.3744,102.0638,102.2468,2064
2025-09-30 09:34:00,102.2468,102.42,102.0735,102.2101,1885
2025-09-30 09:35:00,102.2101,102.3366,102.0836,102.2234,1886
2025-09-30 09:36:00,102.2234,102.3491,102.0976,102.2363,2232
2025-09-30 09:37:00,102.2363,102.404,102.0685,102.2701,1546
2025-09-30 09:38:00,102.2701,102.3997,102.1406,102.2553,2050
2025-09-30 09:39:00,102.2553,102.3857,102.125,102.2705,2178
2025-09-30 09:40:00,102.2705,102.4225,102.1186,102.2446,2285
2025-09-30 09:41:00,102.2446,102.419,102.0701,102.2073,2316
2025-09-30 09:42:00,102.2073,102.3344,102.0802,102.2209,2445
2025-09-30 09:43:00,102.2209,102.4105,102.0312,102.1761,2448
2025-09-30 09:44:00,102.1761,102.3366,102.0155,102.2063,1814
2025-09-30 09:45:00,102.2063,102.3521,102.0606,102.2292,1601
2025-09-30 09:46:00,102.2292,102.427,102.0314,102.1803,2071
2025-09-30 09:47:00,102.1803,102.3726,101.988,102.2265,1557
2025-09-30 09:48:00,102.2265,102.405,102.048,102.2657,2434
2025-09-30 09:49:00,102.2657,102.4421,102.0893,102.2275,1958
2025-09-30 09:50:00,102.2275,102.3527,102.1023,102.2149,2181
2025-09-30 09:51:00,102.2149,102.3722,102.0577,102.1863,2124
2025-09-30 09:52:00,102.1863,102.3329,102.0397,102.2096,1772
2025-09-30 09:53:00,102.2096,102.3929,102.0262,102.1679,1777
2025-09-30 09:54:00,102.1679,102.3358,102.0,102.2019,2024
2025-09-30 09:55:00,102.2019,102.3227,102.081,102.1914,2447
2025-09-30 09:56:00,102.1914,102.3784,102.0044,102.2349,2066
2025-09-30 09:57:00,102.2349,102.3868,102.0831,102.2609,1564
2025-09-30 09:58:00,102.2609,102.3995,102.1222,102.2802,1581
2025-09-30 09:59:00,102.2802,102.403,102.1573,102.2688,1776
2025-09-30 10:00:00,102.2688,102.3893,102.1482,102.2585,2155
2025-09-30 10:01:00,102.2585,102.3856,102.1314,102.2449,2368
2025-09-30 10:02:00,102.2449,102.4203,102.0696,102.2826,2251
2025-09-30 10:03:00,102.2826,102.458,102.1072,102.3203,1817
2025-09-30 10:04:00,102.3203,102.4761,102.1645,102.2924,1838
2025-09-30 10:05:00,102.2924,102.4629,102.1218,102.2571,1861
2025-09-30 10:06:00,102.2571,102.4275,102.0867,102.2923,2094
2025-09-30 10:07:00,102.2923,102.4137,102.1709,102.2816,1927
2025-09-30 10:08:00,102.2816,102.4739,102.0893,102.3277,1683
2025-09-30 10:09:00,102.3277,102.4576,102.1979,102.3427,2464
2025-09-30 10:10:00,102.3427,102.5138,102.1715,102.3071,1645
2025-09-30 10:11:00,102.3071,102.4994,102.1148,102.3533,2482
2025-09-30 10:12:00,102.3533,102.4735,102.2331,102.3634,1519
2025-09-30 10:13:00,102.3634,102.5001,102.2266,102.345,1926
2025-09-30 10:14:00,102.345,102.4993,102.1907,102.3721,2302
2025-09-30 10:15:00,102.3721,102.5077,102.2365,102.3899,2476
2025-09-30 10:16:00,102.3899,102.5279,102.2519,102.4089,1598
2025-09-30 10:17:00,102.4089,102.5507,102.2672,102.4298,1696
2025-09-30 10:18:00,102.4298,102.591,102.2686,102.4604,2462
2025-09-30 10:19:00,102.4604,102.615,102.3059,102.4877,1672
2025-09-30 10:20:00,102.4877,102.6133,102.3621,102.5005,2013
2025-09-30 10:21:00,102.5005,102.6629,102.3381,102.5317,1811
2025-09-30 10:22:00,102.5317,102.6657,102.3976,102.5487,2382
2025-09-30 10:23:00,102.5487,102.6944,102.403,102.5715,1921
2025-09-30 10:24:00,102.5715,102.7592,102.3838,102.5277,1869
2025-09-30 10:25:00,102.5277,102.6686,102.3867,102.5072,2299
2025-09-30 10:26:00,102.5072,102.6502,102.3642,102.5287,1639
2025-09-30 10:27:00,102.5287,102.6969,102.3605,102.5628,1515
2025-09-30 10:28:00,102.5628,102.6887,102.4369,102.5499,1548
2025-09-30 10:29:00,102.5499,102.6949,102.4048,102.5724,2095
